Name;fully_vaccinated_percentual;partly_vaccinated_percentual
Afghanistan;1.08;0.85
Africa;1.65;1.52
Albania;18.40;4.93
Algeria;1.62;6.04
Andorra;45.99;19.62
Angola;2.09;0.77
Anguilla;57.95;4.38
Antigua and Barbuda;31.33;7.53
Argentina;15.16;39.59
Armenia;1.74;2.31
Aruba;61.31;6.60
Asia;6.03;22.34
Australia;15.23;17.37
Austria;51.28;7.57
Azerbaijan;20.47;7.71
Bahamas;11.79;3.78
Bahrain;60.36;3.04
Bangladesh;2.60;2.52
Barbados;26.50;8.15
Belarus;10.39;4.43
Belgium;59.39;10.07
Belize;12.65;20.04
Benin;0.17;0.22
Bermuda;66.03;1.41
Bhutan;60.71;7.82
Bolivia;13.64;10.65
Bonaire Sint Eustatius and Saba;;
Bosnia and Herzegovina;8.77;6.31
Botswana;5.31;4.61
Brazil;19.39;29.71
British Virgin Islands;37.60;16.46
Brunei;6.61;23.93
Bulgaria;14.50;0.41
Burkina Faso;;
Burundi;;
Cambodia;28.23;14.88
Cameroon;0.21;0.87
Canada;58.73;12.37
Cape Verde;3.86;24.96
Cayman Islands;71.80;3.33
Central African Republic;;
Chad;0.04;0.09
Chile;65.38;6.63
China;61.59;12.68
Colombia;23.76;10.97
Comoros;4.66;8.97
Congo;1.17;1.18
Cook Islands;54.51;7.70
Costa Rica;16.56;33.51
Cote d'Ivoire;;
Croatia;35.08;5.26
Cuba;23.46;12.06
Curacao;50.03;6.21
Cyprus;51.29;8.40
Czechia;45.34;7.53
Democratic Republic of Congo;0.00;0.08
Denmark;54.74;17.34
Djibouti;1.89;1.25
Dominica;27.24;1.71
Dominican Republic;38.49;12.12
Ecuador;13.77;42.21
Egypt;1.71;1.92
El Salvador;22.82;20.47
Equatorial Guinea;8.86;3.59
Estonia;42.55;5.63
Eswatini;2.36;0.94
Ethiopia;;
Europe;39.73;9.40
European Union;49.13;10.18
Faeroe Islands;61.32;9.92
Falkland Islands;;
Fiji;15.97;37.70
Finland;35.27;31.36
France;47.86;15.37
French Polynesia;26.09;4.97
Gabon;1.80;0.81
Gambia;0.49;0.76
Georgia;3.96;4.17
Germany;52.03;9.54
Ghana;1.28;1.45
Gibraltar;116.11;0.66
Greece;49.81;5.21
Greenland;45.24;18.64
Grenada;14.37;4.62
Guatemala;1.84;8.16
Guernsey;;
Guinea;2.52;1.67
Guinea-Bissau;0.12;1.28
Guyana;17.54;14.18
Haiti;0.00;0.05
High income;44.83;11.79
Honduras;3.31;14.71
Hong Kong;32.25;10.48
Hungary;56.50;1.88
Iceland;74.10;4.27
India;7.48;18.93
Indonesia;7.43;9.66
Iran;3.26;8.05
Iraq;1.20;0.80
Ireland;56.48;10.86
Isle of Man;69.17;6.79
Israel;57.99;4.40
Italy;52.39;11.45
Jamaica;4.45;3.57
Japan;30.02;10.63
Jersey;68.00;5.72
Jordan;21.67;7.44
Kazakhstan;19.64;8.63
Kenya;1.20;0.73
Kiribati;;
Kosovo;8.20;7.65
Kuwait;21.33;12.22
Kyrgyzstan;1.76;5.09
Laos;13.39;2.60
Latvia;36.66;2.76
Lebanon;12.31;4.14
Lesotho;1.49;1.83
Liberia;;
Libya;0.75;11.29
Liechtenstein;49.61;4.66
Lithuania;46.45;6.15
Low income;0.28;0.90
Lower middle income;5.42;10.68
Luxembourg;;
Macao;34.46;8.78
Madagascar;;
Malawi;0.70;1.61
Malaysia;20.78;22.27
Maldives;49.34;10.02
Mali;0.27;0.45
Malta;74.07;3.38
Mauritania;0.32;3.42
Mauritius;43.51;10.18
Mexico;19.75;16.23
Moldova;12.27;1.37
Monaco;48.72;10.87
Mongolia;59.56;5.88
Montenegro;24.49;3.55
Montserrat;26.84;2.35
Morocco;27.11;9.39
Mozambique;1.00;0.23
Myanmar;3.28;4.85
Namibia;1.90;4.44
Nauru;66.69;2.59
Nepal;5.88;7.38
Netherlands;57.43;14.02
New Caledonia;21.36;2.41
New Zealand;14.53;8.50
Nicaragua;2.43;1.34
Niger;0.13;1.44
Nigeria;0.67;0.54
Niue;71.25;3.22
North America;37.98;10.53
North Macedonia;18.75;5.93
Norway;33.46;32.61
Oceania;11.50;12.62
Oman;6.44;23.25
Pakistan;2.30;6.60
Palestine;;
Panama;15.88;29.41
Papua New Guinea;0.19;0.72
Paraguay;4.70;26.85
Peru;16.10;8.40
Philippines;8.21;2.37
Pitcairn;76.60;23.40
Poland;46.22;2.28
Portugal;58.95;10.53
Qatar;58.93;11.14
Romania;25.43;0.68
Russia;17.33;7.77
Rwanda;2.96;2.17
Saint Helena;;
Saint Kitts and Nevis;36.92;7.66
Saint Lucia;13.44;4.08
Saint Vincent and the Grenadines;8.91;5.23
Samoa;12.69;20.79
San Marino;;
Sao Tome and Principe;5.31;9.06
Saudi Arabia;22.87;30.29
Senegal;1.76;3.48
Serbia;39.30;1.97
Seychelles;70.48;4.11
Sierra Leone;0.41;1.55
Singapore;62.19;16.79
Sint Maarten (Dutch part);48.60;7.23
Slovakia;36.42;5.25
Slovenia;40.42;5.00
Solomon Islands;1.56;2.62
Somalia;0.53;0.46
South Africa;4.97;5.23
South America;19.91;24.05
South Korea;14.09;23.99
South Sudan;0.04;0.42
Spain;58.32;10.50
Sri Lanka;9.93;34.89
Sudan;0.41;0.99
Suriname;10.09;21.53
Sweden;42.52;20.98
Switzerland;50.14;4.02
Syria;0.05;0.62
Taiwan;1.63;31.41
Tajikistan;0.58;7.12
Tanzania;0.17;0.00
Thailand;5.55;14.18
Timor;7.68;14.63
Togo;1.81;1.98
Tokelau;;
Tonga;17.53;9.49
Trinidad and Tobago;13.87;13.83
Tunisia;8.07;6.17
Turkey;32.17;16.06
Turkmenistan;52.41;19.10
Turks and Caicos Islands;57.86;4.77
Tuvalu;19.30;30.92
Uganda;0.51;1.40
Ukraine;4.66;3.56
United Arab Emirates;69.79;8.32
United Kingdom;56.19;12.45
United States;49.64;7.91
Upper middle income;7.68;31.99
Uruguay;64.06;9.75
Uzbekistan;3.63;11.78
Vanuatu;0.04;7.56
Venezuela;3.83;6.27
Vietnam;0.63;5.06
Wallis and Futuna;41.81;0.87
World;11.69;16.62
Yemen;0.04;0.93
Zambia;0.79;0.72
Zimbabwe;5.16;5.79